"fips","location","population","density"
"40111","Okmulgee County, Oklahoma",38465,55.151326485
"40113","Osage County, Oklahoma",46963,20.90398952
"40139","Texas County, Oklahoma",19983,9.7894775523
"40067","Jefferson County, Oklahoma",6002,7.9082356423
"40127","Pushmataha County, Oklahoma",11096,7.9510610878
"40047","Garfield County, Oklahoma",61056,57.68122497
"40049","Garvin County, Oklahoma",27711,34.547662166
"40069","Johnston County, Oklahoma",11085,17.238194327
"40121","Pittsburg County, Oklahoma",43654,33.438017656
"40123","Pontotoc County, Oklahoma",38284,53.142457435
"40129","Roger Mills County, Oklahoma",3583,3.1398806075
"40153","Woodward County, Oklahoma",20211,16.262656195
"40021","Cherokee County, Oklahoma",48657,64.962516427
"40041","Delaware County, Oklahoma",43009,58.275503266
"40045","Ellis County, Oklahoma",3859,3.1336357096
"40051","Grady County, Oklahoma",55834,50.733254135
"40119","Payne County, Oklahoma",81784,119.40993544
"40125","Pottawatomie County, Oklahoma",72592,92.146201127
"40037","Creek County, Oklahoma",71522,75.29799072
"40141","Tillman County, Oklahoma",7250,8.3224841809
"40149","Washita County, Oklahoma",10916,10.882379619
"40033","Cotton County, Oklahoma",5666,8.9562140134
"40075","Kiowa County, Oklahoma",8708,8.5786509619
"40079","Le Flore County, Oklahoma",49853,31.369947281
"40089","McCurtain County, Oklahoma",32832,17.738738661
"40093","Major County, Oklahoma",7629,7.9884816819
"40097","Mayes County, Oklahoma",41100,62.711975408
"40109","Oklahoma County, Oklahoma",797434,1124.9568909
"40039","Custer County, Oklahoma",29003,29.332133511
"40007","Beaver County, Oklahoma",5311,2.9264326952
"40085","Love County, Oklahoma",10253,19.950901733
"40009","Beckham County, Oklahoma",21859,24.242545326
"40063","Hughes County, Oklahoma",13279,16.50620984
"40023","Choctaw County, Oklahoma",14672,19.046911192
"40065","Jackson County, Oklahoma",24530,30.561168181
"40031","Comanche County, Oklahoma",120749,112.91607784
"40081","Lincoln County, Oklahoma",34877,36.621214706
"40117","Pawnee County, Oklahoma",16376,28.81316326
"40001","Adair County, Oklahoma",22194,38.675265348
"40133","Seminole County, Oklahoma",24258,38.332441103
"40137","Stephens County, Oklahoma",43143,49.578461495
"40025","Cimarron County, Oklahoma",2137,1.1646992495
"40011","Blaine County, Oklahoma",9429,10.155220818
"40019","Carter County, Oklahoma",48111,58.514844004
"40029","Coal County, Oklahoma",5495,10.633364459
